date,code,name,main_amount,main_percent
2025-01-03,sz002422,科伦药业,27918004.0,7.46
2025-01-03,sh600645,中源协和,27763098.0,3.38
2025-01-03,sz002917,金奥博,27710023.0,10.37
2025-01-03,sh600018,上港集团,27684410.0,10.93
2025-01-03,sh605033,美邦股份,27122815.0,52.9
2025-01-03,sz002273,水晶光电,26900332.0,1.57
2025-01-03,sz300630,普利制药,26766096.0,5.22
2025-01-03,sh603823,百合花,26709102.0,17.03
2025-01-03,sz002891,中宠股份,26661010.0,7.51
2025-01-03,sz002304,洋河股份,26635026.0,4.35
2025-01-03,sh603200,上海洗霸,26537848.0,8.15
2025-01-03,sz002241,歌尔股份,26340848.0,0.98
2025-01-03,sh601128,常熟银行,26147241.0,8.79
2025-01-03,sz301326,捷邦科技,25947019.0,15.74
2025-01-03,sh600520,文一科技,25445346.0,5.55
2025-01-03,sh605199,葫芦娃,25203929.0,4.72
2025-01-03,sz300571,平治信息,25000275.0,16.99
2025-01-03,sh601111,中国国航,24525674.0,5.51
2025-01-03,sz002508,老板电器,23309134.0,9.36
2025-01-03,sz301336,趣睡科技,23294314.0,9.07
2025-01-03,sz300968,格林精密,23170132.0,8.88
2025-01-03,sh601958,金钼股份,23117372.0,8.24
2025-01-03,sz002716,湖南白银,22999903.0,9.13
2025-01-03,sh600968,海油发展,22943541.0,9.16
2025-01-03,sh601928,凤凰传媒,22751275.0,4.91
2025-01-03,sh601890,亚星锚链,22666278.0,7.54
2025-01-03,sz002313,日海智能,22530200.0,40.62
2025-01-03,sh600030,中信证券,22158240.0,0.44
2025-01-03,sz000426,兴业银锡,22074055.0,6.43
2025-01-03,sh600863,内蒙华电,21918548.0,8.0
2025-01-03,sz002603,以岭药业,21890051.0,5.98
2025-01-03,sz000403,派林生物,21866135.0,7.43
2025-01-03,sh600908,无锡银行,21597600.0,10.81
2025-01-03,sz002488,金固股份,21272095.0,9.8
2025-01-03,sz002741,光华科技,21102813.0,3.94
2025-01-03,sz002351,漫步者,20874646.0,4.22
2025-01-03,sh601226,华电科工,20843878.0,8.06
2025-01-03,sz000905,厦门港务,20837715.0,5.15
