date,code,main_amount,main_percent
2024-12-25,sh603228,25911022.0,5.15
2024-12-25,sz300307,25517723.0,8.89
2024-12-25,sz301091,24846426.0,2.85
2024-12-25,sh601728,24449190.0,2.37
2024-12-25,sz002895,24435290.0,11.92
2024-12-25,sh603236,24374069.0,2.14
2024-12-25,sh600905,24288843.0,6.4
2024-12-25,sh601238,24181616.0,7.37
2024-12-25,sz002865,23822307.0,3.31
2024-12-25,sh601916,23726210.0,5.57
2024-12-25,sh601336,23332004.0,2.35
2024-12-25,sz000802,23312362.0,13.22
2024-12-25,sh600686,23176429.0,3.98
2024-12-25,sh600775,23060194.0,4.78
2024-12-25,sh600613,22865249.0,11.89
2024-12-25,sz002958,22850622.0,8.26
2024-12-25,sz300578,22808401.0,11.37
2024-12-25,sz002276,22218745.0,3.16
2024-12-25,sh603915,22017241.0,8.56
2024-12-25,sz301191,22010906.0,5.73
2024-12-25,sz000425,21993033.0,6.14
2024-12-25,sz000620,21600233.0,9.64
2024-12-25,sz300504,21367276.0,4.48
2024-12-25,sh603819,21288990.0,13.21
2024-12-25,sz002542,21158998.0,3.68
2024-12-25,sh605499,21066110.0,10.38
2024-12-25,sz000858,20868184.0,1.52
2024-12-25,sh600729,20801500.0,10.48
2024-12-25,sh600587,20652921.0,17.17
2024-12-25,sh603866,20630136.0,6.68
2024-12-25,sh600843,20548300.0,1.83
2024-12-25,sh605158,20255179.0,10.46
2024-12-25,sz000534,20145172.0,12.8
2024-12-25,sh600118,20056640.0,4.05
2024-12-25,sz300058,19914127.0,1.19
2024-12-25,sz002771,19812311.0,4.22
2024-12-25,sh601665,19729379.0,9.7
2024-12-25,sz300580,19713095.0,2.41
2024-12-25,sz000795,19699166.0,5.08
2024-12-25,sz002629,19697888.0,12.7
2024-12-25,sh600292,19399844.0,4.66
2024-12-25,sh601088,19244878.0,1.59
2024-12-25,sz300035,19186503.0,9.42
2024-12-25,sz000807,19107910.0,5.68
2024-12-25,sz300703,19027689.0,5.26
2024-12-25,sz300719,18994884.0,8.09
2024-12-25,sz002187,18952980.0,6.2
2024-12-25,sh603906,18905758.0,7.13
2024-12-25,sz300681,18834277.0,4.92
2024-12-25,sh600121,18814198.0,8.16
2024-12-25,sz001330,18453118.0,10.78
2024-12-25,sh600538,18266974.0,15.19
2024-12-25,sh600732,18220254.0,2.77
2024-12-25,sh600015,17879341.0,6.19
2024-12-25,sh600038,17773647.0,8.73
2024-12-25,sz300641,17624407.0,1.62
2024-12-25,sz002759,17554565.0,11.4
2024-12-25,sz000528,17356602.0,12.76
2024-12-25,sh601101,17271350.0,10.68
2024-12-25,sz300665,16958495.0,11.68
2024-12-25,sz002250,16863165.0,20.85
2024-12-25,sz300145,16834337.0,3.09
2024-12-25,sh601098,16639931.0,12.31
2024-12-25,sh601666,16622491.0,7.31
2024-12-25,sh603306,16617445.0,3.13
2024-12-25,sh603607,16533818.0,13.51
2024-12-25,sz002438,16440908.0,11.72
2024-12-25,sz000001,16402368.0,0.93
2024-12-25,sz300499,16059749.0,0.99
2024-12-25,sz300690,16054626.0,6.18
2024-12-25,sh601699,16049957.0,8.86
2024-12-25,sz300288,16047161.0,9.05
2024-12-25,sz000078,15930660.0,21.1
2024-12-25,sh603912,15851579.0,1.99
2024-12-25,sh600829,15820140.0,5.57
2024-12-25,sz002459,15676446.0,3.71
2024-12-25,sz002371,15640832.0,0.78
2024-12-25,sh601515,15527053.0,9.93
2024-12-25,sh603322,15326406.0,7.29
2024-12-25,sh600963,15270445.0,11.6
2024-12-25,sh600438,15098208.0,1.15
2024-12-25,sz002142,14967071.0,2.63
2024-12-25,sz000852,14931768.0,5.7
2024-12-25,sz000543,14782150.0,6.63
2024-12-25,sz000960,14650036.0,6.07
2024-12-25,sh600446,14619269.0,4.18
2024-12-25,sz301157,14474752.0,6.59
2024-12-25,sz300892,14431131.0,6.21
2024-12-25,sh603868,14401628.0,7.38
2024-12-25,sz002726,14340419.0,10.48
2024-12-25,sz301516,14225312.0,8.2
2024-12-25,sh600212,14169993.0,6.53
2024-12-25,sz000652,14158248.0,11.51
2024-12-25,sz300041,14102728.0,4.01
2024-12-25,sh603602,14033595.0,6.2
2024-12-25,sh600977,13996308.0,8.64
2024-12-25,sz300591,13949752.0,11.78
2024-12-25,sz300921,13915104.0,2.18
2024-12-25,sh603061,13905837.0,11.09
2024-12-25,sz002256,13803273.0,6.48
2024-12-25,sh601500,13363407.0,1.93
2024-12-25,sz300596,13320405.0,10.44
2024-12-25,sz002243,13253325.0,9.34
2024-12-25,sh603105,13242090.0,2.29
2024-12-25,sz002959,13216694.0,5.91
2024-12-25,sz300537,13214260.0,5.18
2024-12-25,sz301070,13137028.0,7.82
2024-12-25,sz301269,12981782.0,1.72
2024-12-25,sh603767,12973982.0,4.83
2024-12-25,sz002938,12930595.0,4.14
2024-12-25,sh600236,12915601.0,9.01
2024-12-25,sz000683,12841124.0,5.02
2024-12-25,sh600601,12826121.0,1.79
2024-12-25,sz300902,12814385.0,10.29
2024-12-25,sz300420,12805448.0,4.5
2024-12-25,sz000513,12780882.0,6.9
2024-12-25,sh600674,12772860.0,2.72
2024-12-25,sz002635,12651663.0,5.02
2024-12-25,sh600713,12640184.0,7.75
2024-12-25,sz003036,12483447.0,7.0
2024-12-25,sh603103,12361148.0,10.29
2024-12-25,sh603773,12330766.0,6.55
2024-12-25,sh603341,12282269.0,5.16
2024-12-25,sh601216,12281462.0,1.18
2024-12-25,sh600505,12211548.0,5.62
2024-12-25,sh603109,12091885.0,11.4
2024-12-25,sz300122,12004002.0,2.99
2024-12-25,sz002353,11999784.0,6.26
2024-12-25,sz301162,11922474.0,9.77
2024-12-25,sz300700,11827350.0,6.4
2024-12-25,sz301589,11823920.0,7.53
2024-12-25,sh603158,11663760.0,10.12
2024-12-25,sz301285,11627573.0,6.15
2024-12-25,sh601107,11486789.0,12.84
2024-12-25,sz003016,11409354.0,15.02
2024-12-25,sz002246,11390851.0,9.7
2024-12-25,sz002068,11237953.0,3.1
2024-12-25,sh605589,11190604.0,8.58
2024-12-25,sh601298,11148909.0,6.84
2024-12-25,sz002377,11110975.0,6.15
2024-12-25,sz301328,11071382.0,2.55
2024-12-25,sz300691,11066248.0,2.33
2024-12-25,sz301182,11048343.0,1.9
2024-12-25,sh600725,11014434.0,41.14
2024-12-25,sz300206,10964367.0,5.01
2024-12-25,sh600028,10922080.0,0.78
2024-12-25,sz300363,10875025.0,6.55
2024-12-25,sh603291,10850360.0,20.67
2024-12-25,sz002345,10656217.0,5.83
2024-12-25,sz301358,10651417.0,4.28
2024-12-25,sh600795,10630225.0,3.2
2024-12-25,sh600779,10616219.0,4.92
2024-12-25,sz000518,10592747.0,4.45
2024-12-25,sh601628,10583410.0,2.25
2024-12-25,sz002293,10446267.0,15.59
2024-12-25,sz002110,10404838.0,13.75
2024-12-25,sh600794,10360031.0,14.28
2024-12-25,sz300408,10354353.0,1.96
2024-12-25,sz300042,10351707.0,2.79
2024-12-25,sz002906,10327687.0,4.61
2024-12-25,sz002840,10308631.0,3.57
2024-12-25,sz301603,10262664.0,7.83
2024-12-25,sh600894,10242418.0,14.33
2024-12-25,sz002905,10145108.0,7.67
2024-12-25,sz002899,10060659.0,2.63
2024-12-25,sh603359,10058368.0,12.95
2024-12-25,sz300992,10050784.0,6.3
2024-12-25,sz002765,9984089.0,1.8
2024-12-25,sh600299,9965140.0,11.69
2024-12-25,sz300916,9920380.0,9.7
2024-12-25,sz002275,9670852.0,13.87
2024-12-25,sz000501,9664799.0,2.4
2024-12-25,sh603380,9585993.0,4.4
2024-12-25,sz301263,9541778.0,17.85
2024-12-25,sh605006,9519598.0,3.55
2024-12-25,sz300884,9492467.0,3.76
2024-12-25,sh600716,9489738.0,9.74
2024-12-25,sz300849,9484928.0,12.46
2024-12-25,sh600814,9453853.0,3.27
2024-12-25,sz000509,9425540.0,12.72
2024-12-25,sh600023,9400719.0,5.67
2024-12-25,sz001896,9399211.0,3.18
2024-12-25,sz301312,9318194.0,7.04
2024-12-25,sh600877,9297314.0,4.72
2024-12-25,sz001306,9278050.0,12.79
2024-12-25,sz000639,9274936.0,4.72
2024-12-25,sh600395,9247757.0,9.69
