date,code,name,open,low,high,close,volume,amount
2024-12-25,sz301252,同星科技,29.14,29.0,35.14,35.14,11669900.0,397652112.25
2024-12-25,sz300853,申昊科技,22.1,22.1,26.76,26.76,38301000.0,976261380.98
2024-12-25,sz300718,长盛轴承,24.99,23.55,26.78,26.78,62703900.0,1563527227.01
2024-12-25,sz301018,申菱环境,31.86,31.0,37.77,35.88,21456500.0,733717639.55
2024-12-25,sh600865,百大集团,9.18,8.75,10.08,10.08,18541000.0,180042810.0
2024-12-25,sh603711,香飘飘,16.04,15.61,17.99,17.99,17536400.0,300583606.0
2024-12-25,sz000810,创维数字,15.76,15.5,16.68,16.68,176834400.0,2856053570.46
2024-12-25,sz002730,电光科技,11.86,10.95,11.86,11.86,94721800.0,1106419065.54
2024-12-25,sh603686,福龙马,11.88,11.6,11.97,11.97,32767400.0,389468870.0
2024-12-25,sz002577,雷柏科技,16.3,16.26,18.01,18.01,9022500.0,161042147.13
2024-12-25,sz002963,豪尔赛,11.68,11.5,12.96,12.96,9788000.0,125033317.2
2024-12-25,sz002137,实益达,11.21,10.81,11.21,11.21,115053000.0,1286074813.93
2024-12-25,sz002843,泰嘉股份,21.01,20.35,23.08,23.08,24219300.0,536404578.35
2024-12-25,sh605378,野马电池,17.81,17.81,19.69,19.69,7427000.0,145181454.0
2024-12-25,sh603500,祥和实业,6.94,6.84,7.92,7.92,44821900.0,333605036.0
2024-12-25,sz002067,景兴纸业,4.18,4.07,4.18,4.18,175444600.0,732421608.58
2024-12-25,sz000880,潍柴重机,15.31,15.31,16.84,16.84,87510000.0,1448765388.44
2024-12-25,sh603777,来伊份,15.52,15.4,16.4,16.4,33097900.0,535351642.0
2024-12-25,sh600855,航天长峰,11.54,11.54,12.77,12.77,47607500.0,602143103.0
2024-12-25,sh603016,新宏泰,32.9,32.81,36.44,36.44,4851800.0,172743430.0
2024-12-25,sh603390,通达电气,10.42,10.19,11.89,11.89,24282400.0,271065076.0
