date,code,main_amount,main_percent
2024-12-27,sz002045,618483664.0,16.17
2024-12-27,sz000016,342294548.0,19.27
2024-12-27,sh600150,321269456.0,12.73
2024-12-27,sz002119,320429785.0,18.13
2024-12-27,sz002449,311894160.0,10.63
2024-12-27,sh600580,307403184.0,6.06
2024-12-27,sz300059,292744960.0,1.63
2024-12-27,sz000936,284772529.0,20.98
2024-12-27,sh601933,257842560.0,4.01
2024-12-27,sz300323,252642161.0,12.44
2024-12-27,sh600584,239947504.0,6.25
2024-12-27,sh601456,212500912.0,4.99
2024-12-27,sz301315,205882097.0,15.31
2024-12-27,sz000998,187693994.0,19.07
2024-12-27,sh600418,187030560.0,6.16
2024-12-27,sh600104,185556128.0,5.55
2024-12-27,sz300302,184823931.0,15.3
2024-12-27,sz002292,184115945.0,10.84
2024-12-27,sz002371,171126624.0,4.05
2024-12-27,sz300377,166049808.0,3.82
2024-12-27,sz002364,158403312.0,7.95
2024-12-27,sz002334,154285772.0,29.07
2024-12-27,sh600579,145592973.0,12.62
2024-12-27,sz300141,133907363.0,21.88
2024-12-27,sh601727,130746145.0,6.14
2024-12-27,sz000501,130207521.0,21.73
2024-12-27,sz300547,129689567.0,31.53
2024-12-27,sz002272,129564975.0,6.97
2024-12-27,sh600506,129454806.0,35.25
2024-12-27,sz002117,123193052.0,14.76
2024-12-27,sh600221,122357374.0,9.01
2024-12-27,sh600612,122333073.0,20.88
2024-12-27,sz002387,121089841.0,33.15
2024-12-27,sz002041,115123464.0,37.92
2024-12-27,sh603920,113609658.0,10.25
2024-12-27,sz000592,107147733.0,15.34
2024-12-27,sh600114,103936639.0,19.01
2024-12-27,sh603678,102384124.0,18.68
2024-12-27,sh601086,101407243.0,60.13
2024-12-27,sz002952,96414302.0,38.57
2024-12-27,sz300757,91525168.0,3.59
2024-12-27,sz002148,91303643.0,11.14
2024-12-27,sz002625,89905200.0,2.35
2024-12-27,sz001258,86696719.0,14.6
2024-12-27,sh603099,85901646.0,9.68
2024-12-27,sz002271,85816060.0,8.27
2024-12-27,sh603215,81943736.0,37.14
2024-12-27,sz002139,80300229.0,8.89
2024-12-27,sz300189,79978843.0,9.71
2024-12-27,sh600745,77325379.0,4.51
2024-12-27,sz002416,76830034.0,11.34
2024-12-27,sz300469,76457502.0,11.9
2024-12-27,sz300857,76051960.0,7.85
2024-12-27,sh600354,75926562.0,20.6
2024-12-27,sh601766,72079347.0,11.07
2024-12-27,sz002577,70603373.0,11.31
2024-12-27,sz301050,68895824.0,7.03
2024-12-27,sh600693,65963904.0,7.52
2024-12-27,sz000713,65784906.0,18.14
2024-12-27,sz002134,65326213.0,14.32
2024-12-27,sz300045,63395676.0,9.55
2024-12-27,sh600391,63235224.0,40.07
2024-12-27,sh601985,61865760.0,4.0
2024-12-27,sh601099,60929645.0,5.01
2024-12-27,sz300211,60217683.0,7.91
2024-12-27,sh603950,59357129.0,28.41
2024-12-27,sz300014,59095999.0,4.67
2024-12-27,sh600858,58986335.0,28.31
2024-12-27,sz000768,58963532.0,6.65
