date,code,name,open,low,high,close,volume,amount
2025-01-03,sh600316,洪都航空,30.26,28.28,30.4,28.38,11866700.0,344723878.0
2025-01-03,sh600790,轻纺城,3.87,3.59,3.88,3.6,31041100.0,114404460.0
2025-01-03,sz300565,科信技术,12.4,11.48,12.56,11.52,10476500.0,125533864.72
2025-01-03,sz000838,财信发展,2.77,2.57,2.81,2.59,24292600.0,64071012.0
2025-01-03,sz301487,盟固利,20.53,19.13,20.58,19.13,13328600.0,262652076.0
2025-01-03,sh601566,九牧王,8.58,8.01,8.75,8.05,6626700.0,54917261.0
2025-01-03,sz300264,佳创视讯,5.4,5.0,5.44,5.03,21642600.0,111826424.19
2025-01-03,sz300559,佳发教育,11.49,10.74,11.52,10.77,5485000.0,60789307.0
2025-01-03,sh600653,申华控股,2.16,2.0,2.17,2.01,69874400.0,143605494.0
2025-01-03,sz300528,幸福蓝海,8.85,8.15,8.89,8.18,14119600.0,119209134.4
2025-01-03,sh603660,苏州科达,6.63,6.14,6.7,6.17,30548100.0,193757387.0
2025-01-03,sz300348,长亮科技,13.66,12.72,13.8,12.77,38139300.0,500067493.62
2025-01-03,sz300784,利安科技,55.33,51.5,55.77,51.51,1285200.0,68193592.0
2025-01-03,sh600429,三元股份,4.46,4.14,4.47,4.16,17166600.0,72988094.0
2025-01-03,sz002149,西部材料,16.92,15.6,17.04,15.77,10713500.0,173707658.77
2025-01-03,sh605178,时空科技,14.2,13.3,14.3,13.33,2695200.0,36837351.0
2025-01-03,sz300322,硕贝德,12.88,12.01,13.04,12.04,20774400.0,258243696.86
2025-01-03,sz002663,普邦股份,2.0,1.85,2.02,1.86,47373300.0,90303795.28
2025-01-03,sh603517,绝味食品,16.6,15.35,16.69,15.45,16386600.0,260468452.0
2025-01-03,sz002329,皇氏集团,3.49,3.28,3.58,3.29,36568200.0,122299036.27
2025-01-03,sz300520,科大国创,22.38,20.68,22.5,20.74,14952800.0,319641616.12
2025-01-03,sz002857,三晖电气,12.57,11.53,12.95,11.58,3371900.0,40460870.0
2025-01-03,sz300681,英搏尔,23.99,22.18,24.15,22.3,10394600.0,239388739.7
2025-01-03,sz300746,汉嘉设计,11.16,10.41,11.28,10.43,4833100.0,51971777.0
2025-01-03,sz002209,达 意 隆,9.17,8.5,9.27,8.57,7652300.0,67579360.08
2025-01-03,sz002031,巨轮智能,5.03,4.69,5.08,4.71,190864200.0,921328950.07
2025-01-03,sh600261,阳光照明,3.38,3.26,3.45,3.28,87298900.0,290807913.0
2025-01-03,sz301018,申菱环境,37.86,35.5,38.11,35.62,10402300.0,381636712.94
2025-01-03,sh600650,锦江在线,13.72,12.79,13.78,12.82,14740300.0,193883600.0
2025-01-03,sz003032,传智教育,9.41,8.74,9.5,8.82,17503900.0,158177723.1
2025-01-03,sz300271,华宇软件,6.85,6.37,6.97,6.4,19725500.0,129939008.8
2025-01-03,sh603648,畅联股份,9.81,9.09,9.86,9.1,11689300.0,109257246.0
2025-01-03,sz003021,兆威机电,75.0,69.8,75.06,70.05,9068600.0,647378178.66
2025-01-03,sz300148,天舟文化,3.69,3.39,3.74,3.41,46417800.0,162615781.23
2025-01-03,sh600775,南京熊猫,9.77,9.08,9.83,9.09,33095500.0,309072199.0
2025-01-03,sz002037,保利联合,7.6,7.09,7.64,7.1,14644700.0,106864512.44
2025-01-03,sz300719,安达维尔,17.05,15.86,17.11,15.9,7186700.0,117960024.5
2025-01-03,sz000605,渤海股份,7.82,7.14,7.84,7.24,15224100.0,112393981.6
2025-01-03,sz300417,南华仪器,12.46,11.59,12.69,11.64,7031500.0,84167563.0
2025-01-03,sz300265,通光线缆,7.93,7.34,8.0,7.38,15436000.0,117393233.37
2025-01-03,sz002840,华统股份,12.0,11.17,12.07,11.21,20919800.0,241064362.14
2025-01-03,sz300781,因赛集团,58.03,53.94,58.4,54.06,4655000.0,259222541.0
2025-01-03,sh600635,大众公用,4.06,3.82,4.1,3.83,81955900.0,322060914.0
2025-01-03,sh603801,志邦家居,12.65,11.64,12.69,11.77,9250500.0,111686574.0
2025-01-03,sz300076,GQY视讯,7.01,6.41,7.1,6.52,23967700.0,159844924.5
2025-01-03,sz000099,中信海直,24.43,22.78,24.5,22.82,39249100.0,920551879.42
2025-01-03,sz001379,腾达科技,21.93,20.4,21.98,20.41,3540100.0,74892241.49
2025-01-03,sz301357,北方长龙,31.86,29.51,32.39,29.75,1637000.0,50289011.67
2025-01-03,sz002467,二六三,5.46,5.08,5.52,5.1,97361700.0,509374926.94
2025-01-03,sz301199,迈赫股份,28.98,26.8,29.1,26.9,2575300.0,71450887.09
2025-01-03,sz300542,新晨科技,19.99,18.51,20.05,18.54,10214600.0,194510474.18
2025-01-03,sz000753,漳州发展,4.33,4.05,4.37,4.1,84667100.0,353503321.7
2025-01-03,sz002718,友邦吊顶,12.26,11.34,12.59,11.44,1980800.0,23228182.0
2025-01-03,sz001339,智微智能,35.66,33.05,35.88,33.19,4905100.0,167918335.9
2025-01-03,sh600861,北京人力,19.58,18.44,19.8,18.5,5653700.0,107198019.0
2025-01-03,sz002547,春兴精工,4.1,3.79,4.15,3.81,56816200.0,221946363.18
2025-01-03,sh603729,龙韵股份,14.79,13.61,15.0,13.81,5683400.0,79647301.0
2025-01-03,sh600626,申达股份,3.62,3.37,3.68,3.38,23995200.0,83171794.0
2025-01-03,sz300043,星辉娱乐,3.65,3.36,3.69,3.38,77731100.0,268615298.37
2025-01-03,sz300903,科翔股份,7.86,7.27,7.95,7.32,16164200.0,122319884.6
2025-01-03,sz000863,三湘印象,3.98,3.65,4.04,3.66,49983600.0,188499733.14
2025-01-03,sz300552,万集科技,32.85,30.3,33.26,30.4,8026300.0,253586733.6
2025-01-03,sz000697,炼石航空,8.3,7.68,8.35,7.74,15071400.0,120087624.0
2025-01-03,sz300701,森霸传感,10.01,9.25,10.08,9.28,6728500.0,64466110.5
2025-01-03,sz300414,中光防雷,7.74,7.17,7.77,7.17,7070200.0,52253950.6
2025-01-03,sz300018,中元股份,6.62,6.15,6.64,6.18,14446000.0,91764767.0
2025-01-03,sz301136,招标股份,11.44,10.62,11.57,10.67,4503200.0,49511219.2
2025-01-03,sz300126,锐奇股份,5.18,4.72,5.18,4.77,7681100.0,37610957.0
2025-01-03,sz300479,神思电子,18.1,16.62,18.19,16.69,9439900.0,162475890.34
2025-01-03,sz002199,东晶电子,7.79,7.11,8.08,7.15,19000400.0,141026391.74
2025-01-03,sz300220,金运激光,13.68,12.58,13.9,12.75,7516200.0,97759616.52
2025-01-03,sz300513,恒实科技,8.94,8.2,8.95,8.26,9965500.0,85308183.72
2025-01-03,sz002453,华软科技,4.95,4.61,5.01,4.62,19099000.0,91502563.08
2025-01-03,sz003011,海象新材,15.0,13.96,15.1,13.99,2720900.0,39314688.6
2025-01-03,sz300085,银之杰,36.74,34.19,36.99,34.25,44606000.0,1565520299.32
2025-01-03,sz300365,恒华科技,5.98,5.57,6.05,5.59,15917900.0,91508796.03
2025-01-03,sz300888,稳健医疗,43.01,39.9,43.3,40.1,6753100.0,278544189.8
2025-01-03,sh603803,瑞斯康达,9.67,8.75,9.68,8.8,45430400.0,412890781.0
2025-01-03,sh600735,新华锦,4.61,4.3,4.64,4.33,10601200.0,46922538.0
2025-01-03,sz300710,万隆光电,17.66,16.38,17.89,16.48,4080200.0,69415946.41
2025-01-03,sh600571,信雅达,12.32,11.43,12.45,11.45,28469700.0,335747930.0
2025-01-03,sz000590,启迪药业,7.03,6.54,7.16,6.56,6261100.0,42255947.0
2025-01-03,sh603076,乐惠国际,23.28,21.72,23.39,21.77,2387600.0,53283193.0
2025-01-03,sz000008,神州高铁,2.84,2.63,2.85,2.65,117782400.0,319412024.76
2025-01-03,sh603686,福龙马,10.01,9.29,10.09,9.34,57822200.0,553971001.0
2025-01-03,sz000929,兰州黄河,7.11,6.53,7.15,6.55,7077900.0,47498725.0
2025-01-03,sz300581,晨曦航空,10.63,9.87,10.79,9.89,14653500.0,149558185.74
2025-01-03,sz300553,集智股份,26.49,24.53,26.82,24.79,1460100.0,37290374.3
2025-01-03,sz002827,高争民爆,25.6,24.06,25.79,24.21,9694700.0,240527238.5
2025-01-03,sz300491,通合科技,15.32,14.18,15.32,14.19,7074000.0,103288371.2
2025-01-03,sz002232,启明信息,18.47,17.1,18.6,17.25,17156100.0,303269015.06
2025-01-03,sz301191,菲菱科思,88.66,81.31,88.83,81.99,2587900.0,218174109.05
2025-01-03,sz300277,海联讯,11.05,10.26,11.12,10.28,12172200.0,128565010.0
2025-01-03,sh600340,华夏幸福,2.66,2.49,2.68,2.5,193448300.0,495724017.0
2025-01-03,sz301171,易点天下,27.32,25.5,27.6,25.55,27372700.0,717073404.86
2025-01-03,sz002886,沃特股份,16.1,14.96,16.38,14.98,13379800.0,206256689.19
2025-01-03,sz300884,狄耐克,10.83,9.96,10.89,9.98,8877200.0,91441982.76
