date,code,main_amount,main_percent
2025-01-02,sh601933,812099472.0,11.22
2025-01-02,sz002245,449442753.0,35.69
2025-01-02,sh603662,359665392.0,10.78
2025-01-02,sh603118,352782804.0,33.84
2025-01-02,sz300766,319348775.0,17.09
2025-01-02,sz000651,315260064.0,7.08
2025-01-02,sz002364,287086108.0,18.58
2025-01-02,sz001314,263048272.0,17.38
2025-01-02,sz000716,263013897.0,30.88
2025-01-02,sz000882,225604719.0,35.69
2025-01-02,sz002693,222276384.0,16.18
2025-01-02,sz002640,206131431.0,13.04
2025-01-02,sh600255,206043200.0,8.09
2025-01-02,sh600811,192929566.0,21.65
2025-01-02,sh603719,191398383.0,34.71
2025-01-02,sz002269,190048711.0,23.92
2025-01-02,sz002112,185553799.0,23.76
2025-01-02,sz002187,184428557.0,36.17
2025-01-02,sz002582,184191313.0,47.23
2025-01-02,sz002918,180555478.0,49.18
2025-01-02,sz002902,178945077.0,15.22
2025-01-02,sh600327,166731810.0,20.03
2025-01-02,sz300959,150005071.0,14.38
2025-01-02,sz002127,149882452.0,10.98
2025-01-02,sz002184,142260494.0,31.41
2025-01-02,sz000333,142188272.0,4.52
2025-01-02,sh605136,141091723.0,29.48
2025-01-02,sz002418,136050506.0,33.22
2025-01-02,sz300607,134447909.0,5.5
2025-01-02,sz002583,129061614.0,4.41
2025-01-02,sz002730,126914094.0,13.96
2025-01-02,sz000786,126470184.0,9.56
2025-01-02,sz002697,118926833.0,11.02
2025-01-02,sz002495,116647997.0,36.06
2025-01-02,sz000981,115653355.0,41.17
2025-01-02,sz000678,115180902.0,26.58
2025-01-02,sh603777,109779589.0,36.36
2025-01-02,sh600398,108863091.0,5.89
2025-01-02,sz002648,104814148.0,14.18
2025-01-02,sz300947,104052444.0,23.5
2025-01-02,sh600785,102505808.0,16.93
2025-01-02,sh603390,102108835.0,19.81
2025-01-02,sh600690,101991979.0,6.3
2025-01-02,sz000785,101919113.0,10.09
2025-01-02,sh600824,96891893.0,9.99
2025-01-02,sh600547,95644865.0,8.84
2025-01-02,sz000417,95482729.0,14.93
2025-01-02,sh601010,93597843.0,40.58
2025-01-02,sz002155,93279594.0,10.05
2025-01-02,sh600988,93183372.0,8.56
2025-01-02,sz300323,92672083.0,4.76
